, ,matches_v4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,id ,meta.tags,meta.similarity,meta.reordered,domenico.text,domenico.begin,domenico.end,domenico.image_number,baldinucci.text,baldinucci.begin,baldinucci.end,baldinucci.image_number,link,irrelevant,person_domenico,person_baldinucci,entity_quantity,work_domenico,work_baldinucci,work_quantity,form_domenico,form_baldinucci,content_domenico,content_baldinucci,wording,grouping_domenico,grouping_baldinucci,patron_domenico,patron_baldinucci,,,place_domenico,place_baldinucci,,"obs, descriptions",,
,0,"['noseg', 'seg', 'v2', 'v3', 'v4']",0.9106725,TRUE,EQVES IO: LAVRENTIVS BERNINVS Natus die 7 Decembr:1598. Obijt die 28 Nou: 1680. To: Bapt: Gaullus pin Arnold:Van Westerhoutje VITA DEL CAVALIER GIO. LORENZO BER NIN,53,217,5,EQVES 10: LAVRENTIVS BERNINVS Natus die 7 Decembr. :1508. Obijt die 28 Nou: 1680. 1o - Bapt: Gaullus pine Arnold:Van Westerhoutjes CICO ats VITA DEL CAVALIERE GIO. LORENZO BER NIN,14783,14962,15,https://architectura.benoitseguin.net/#/comparator/5c2e20b6-262b-49ae-9ca2-4e576d7be789/d9411c16-926b-4ec5-9621-58bc821ebb19?page_1=5&page_2=15,position,[],[],1,[],[],0,[],[],[],[],[],[],[],[],[],[],[],[],[],,Same engraving of Bernini,,
,1,"['noseg', 'v3', 'v4']",0.379325,FALSE,"Westerhoutje VITA DEL CAVALIER GIO. LORENZO BER NINO, DESCRITTA DA DOMENICO BERNINO SVO FIGLIO, E dallo Stampatore dedicata ALL’EMINENT. MO, E REVER. MO SIGNORE, IL SIG, CARDINALE LODOVICO РІ СО DELLA MIRANDOLA, MONDO IN ROMA, a ſpeſe di Rocco Bernabò, l'anno 1713; CON LICENZA DE' SUPERIORI. DETI V MIEVIDOTY TODO AICO ONTHOLOD , e Rev. mo ",166,507,5,"Besterman V I TA DEL CAVALIERE BERN IN O. ATIV І ТА АОАТ О И Т И яа я VI T A DEL CAVALIERE GIO. LORENZO B E R N I N O SCVLTORE , ARCHITETTO, E PITTORE, SCRITT A DA FILIPPO BALDINVCCI FIORENTINO. ALLA SACRA E REALE MAESTA: DI CRISTINA REGINA DI SVEZIA. adecoDDDD. IN FIRENZE, nella Stamperia di Vincenzio Vangeliſti. Con licenza de Superiori. MDCLXXXII. ΤΣΙΑ ΚΑΛΟ ODWRACINIO VILASCIALLID A ADA? AIJA ATAMAT TAVOLA DELLE CO",9,430,2,https://architectura.benoitseguin.net/#/comparator/5c2e20b6-262b-49ae-9ca2-4e576d7be789/d9411c16-926b-4ec5-9621-58bc821ebb19?page_1=5&page_2=2,position,[],[],1,[],[],0,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,
,2,"['noseg', 'seg', 'v3', 'v4']",0.90476,TRUE,"VITA DEL CAVALIER GIO. LORENZO BER NINO, DESCRITTA D",179,231,7,"Vita del Canalier Gio Lorenzo Bernino, ſcritta d",242541,242589,128,https://architectura.benoitseguin.net/#/comparator/5c2e20b6-262b-49ae-9ca2-4e576d7be789/d9411c16-926b-4ec5-9621-58bc821ebb19?page_1=7&page_2=128,position,[],[],1,[],[],0,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,
,3,"['noseg', 'v3', 'v4']",0.36275,TRUE,"dall Illuſtriſs. Sign. Domenico Bernino , nel rivolgere bene ſpeſſo i Manuſcritti raccolti da quell'infaticabile, & erudito Soggetto , fortunatamente mi avvenni nella Vita del Cavalier Gio: Lorenzo Bernino ſuo Padre, da lui medeſimamente compoſta nella ſua più florida età, cioè anche avanti ch'egli ſi ponefſe al gran layorìo de' Qu",3231,3564,15,"r ordine dell'Illuſtriſs. e Reuerendiſs. Monfig Vicario Generale Aleſſandro Pucci ho veduto la pre. fente Opera intitolata Vita del Canalier Gio Lorenzo Bernino, ſcritta da Filippo Baldinucci nella quale non ho trouato niente contrario alla Fede , e buoni coſtumi; ma la ſtimo deg",242418,242698,128,https://architectura.benoitseguin.net/#/comparator/5c2e20b6-262b-49ae-9ca2-4e576d7be789/d9411c16-926b-4ec5-9621-58bc821ebb19?page_1=15&page_2=128,position,[],[],1,[],[],0,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,
,4,['v4'],0.43889,TRUE,tolici. De Zaulis Archiep. Theodoſia Viceſger. T Er ordine del Reverendiſsimo Padre Maeſtro del Sacro Pa. lazzo il P. Gregorio Sellari hò letta la Vita del Sig. Cava. lierc Gio: Lorenzo Bernino defcritta d,7085,7290,20,"tobre 1687: Aleſſandro Pucci Vic. Gener. Fior Per ordine dell'Illuſtriſs. e Reuerendiſs. Monfig Vicario Generale Aleſſandro Pucci ho veduto la pre. fente Opera intitolata Vita del Canalier Gio Lorenzo Bernino, ſcritta d",242370,242589,128,https://architectura.benoitseguin.net/#/comparator/5c2e20b6-262b-49ae-9ca2-4e576d7be789/d9411c16-926b-4ec5-9621-58bc821ebb19?page_1=20&page_2=128,position,[],[],1,[],[],0,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,
,5,"['seg', 'v3', 'v4']",0.7375,TRUE,AP. Alunzione al Pontificato del Card. Maffeo Barberino col nome di Urban,9008,9081,21,"aſſunto al Sommo Pontificato il Card. Maffeo Barberino, che fu Vrban",34665,34733,26,https://architectura.benoitseguin.net/#/comparator/5c2e20b6-262b-49ae-9ca2-4e576d7be789/d9411c16-926b-4ec5-9621-58bc821ebb19?page_1=21&page_2=26,position,[],[],1,[],[],0,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,
,6,['v4'],0.45238,TRUE,"la di S. Pietro, e Sepolcro della Conteſsas Matilde fatti dal Bernino per commandamento del Pontefice. 37 CAP. VII. Malattia del Cavaliere, e dimo ſtrazione ",9445,9602,22,"ra di s. Pietro. Il Sepolcro della Conteſſa Masilde ineſoluogo. Il Sepolcro a Vrbano Dili, in effo luogo. La scala del Palazzo Vaticano. Il portico ne",234942,235092,123,https://architectura.benoitseguin.net/#/comparator/5c2e20b6-262b-49ae-9ca2-4e576d7be789/d9411c16-926b-4ec5-9621-58bc821ebb19?page_1=22&page_2=123,position,[],[],1,[],[],0,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,
,7,"['noseg', 'seg', 'v3', 'v4']",0.78608,TRUE,del Cavaliere appreffo di lui ; e demolizione del Campanile di S. Pietro; Mode,10208,10286,22,"delle quali eſſere ſtata quella della demolizione del Campanile di S. Pietro, Ma pe",75385,75468,45,https://architectura.benoitseguin.net/#/comparator/5c2e20b6-262b-49ae-9ca2-4e576d7be789/d9411c16-926b-4ec5-9621-58bc821ebb19?page_1=22&page_2=45,position,[],[],1,[],[],0,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,
